"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSG00000211594",550.480415561969,-5.12190432129421,0.937213040105749,-5.46503740570691,4.62809200297455e-08,0.00129480129967219,NA,NA
"ENSG00000175267",90.3511562271774,-2.766662327357,0.523281438680159,-5.28714019426178,1.24243419429683e-07,0.00138492693687323,"VWA3A","146177"
"ENSG00000211663",370.157619532051,-6.1695257828891,1.1741634880638,-5.25440098044835,1.48507016857407e-07,0.00138492693687323,NA,NA
"ENSG00000242371",298.438402695537,-5.15595206496395,1.04055827637425,-4.95498635879337,7.2335363834573e-07,0.00464691965902675,NA,NA
"ENSG00000211668",389.926676464648,-5.50731424188153,1.11826925932273,-4.92485525822017,8.44228206744989e-07,0.00464691965902675,NA,NA
"ENSG00000211973",312.317891907369,-4.75940988281786,0.973698180927983,-4.88797244982208,1.01879783137579e-06,0.00464691965902675,NA,NA
"ENSG00000211896",31542.6394932754,-5.00137556243558,1.02868895126921,-4.86189295244673,1.16268497741671e-06,0.00464691965902675,NA,NA
"ENSG00000242472",49.2020742880961,-4.98511621676048,1.05431713222921,-4.72828911185397,2.26419630636446e-06,0.0079181775078948,NA,NA
"ENSG00000241351",662.294332913138,-4.76340212236095,1.02696056568841,-4.63834959346063,3.51202374709246e-06,0.010394722532054,NA,NA
"ENSG00000134321",349.255111353506,-2.02901267853237,0.438544630537681,-4.62669597857048,3.71545288345927e-06,0.010394722532054,"RSAD2","91543"
"ENSG00000226777",50.9576622194844,-4.64764868390834,1.01253715641128,-4.59010185895885,4.43029758691993e-06,0.0112678577808417,"FAM30A","9834"
"ENSG00000211936",91.6968579184724,-5.15695467549751,1.13909230864177,-4.52724914071849,5.9756473510202e-06,0.0118093272617063,NA,NA
"ENSG00000132465",2286.61340781036,-4.25471497900884,0.940213073259803,-4.52526677198538,6.03193692391998e-06,0.0118093272617063,"JCHAIN","3512"
"ENSG00000156738",158.71777632177,-2.67668311222392,0.592453122494903,-4.51796608135347,6.24364827276685e-06,0.0118093272617063,"MS4A1","931"
"ENSG00000211945",207.253243810066,-4.79218112020433,1.06139077161715,-4.51500168303036,6.3316262975156e-06,0.0118093272617063,NA,NA
"ENSG00000211955",203.084024219022,-5.32000967133427,1.18849763622813,-4.47624758280387,7.59663861267555e-06,0.0132831974041765,NA,NA
"ENSG00000196684",303.351412919651,-1.59212006468135,0.358309828102572,-4.44341723226631,8.8541226651211e-06,0.0137315103423619,"HSH2D","84941"
"ENSG00000211648",192.63631478248,-4.76703324139825,1.08068892630666,-4.41110584679529,1.028440260858e-05,0.0137315103423619,NA,NA
"ENSG00000090104",1423.44799649615,-2.22707118455516,0.505060941383593,-4.40950982757486,1.03604857034139e-05,0.0137315103423619,"RGS1","5996"
"ENSG00000137959",1802.3851974553,-1.85500902369284,0.421555730026568,-4.40038858818485,1.08057196790289e-05,0.0137315103423619,"IFI44L","10964"
"ENSG00000211662",401.665080696914,-5.03926858493915,1.14527690969729,-4.40004381671424,1.08229022318243e-05,0.0137315103423619,NA,NA
"ENSG00000239951",1460.80987444276,-4.4118042571325,1.00290859530955,-4.39900931925982,1.08746157266969e-05,0.0137315103423619,NA,NA
"ENSG00000026751",175.664825873862,-2.71504731573614,0.618336346887137,-4.39089070116026,1.12887278076393e-05,0.0137315103423619,"SLAMF7","57823"
"ENSG00000267554",16.4950761079355,-1.43866185089709,0.329004600351814,-4.37277122982074,1.22679259226933e-05,0.0143008234807996,NA,NA
"ENSG00000187608",984.030210303605,-1.9659079555727,0.450553303003844,-4.36331937301529,1.2810371540306e-05,0.0143358305833257,"ISG15","9636"
"ENSG00000211951",67.5752748421341,-5.88227141353955,1.3603957083705,-4.32394146596169,1.53265977960062e-05,0.0164920087130333,NA,NA
"ENSG00000159958",8.75216322055582,-3.46761559601387,0.813378625829267,-4.2632243900908,2.01497991699387e-05,0.0208789233843472,"TNFRSF13C","115650"
"ENSG00000170476",228.771204012687,-3.81602098817215,0.90088007068323,-4.23588123697539,2.27657087241864e-05,0.0227470083205915,"MZB1","51237"
"ENSG00000211959",375.303962814397,-4.8144652677478,1.13876717467459,-4.22778718496481,2.36000849727182e-05,0.0227675716304047,NA,NA
"ENSG00000211637",113.538227148434,-4.80499107444146,1.14909376320337,-4.1815483020693,2.89530725753362e-05,0.0259371054606858,NA,NA
"ENSG00000122224",115.022264345924,-2.27122297979661,0.545611878431217,-4.16270808899358,3.14495315034593e-05,0.0259371054606858,"LY9","4063"
"ENSG00000231486",34.2061018731305,-4.22084756283158,1.01416650597951,-4.16188814947599,3.15626948303001e-05,0.0259371054606858,NA,NA
"ENSG00000236423",13.1986131139895,2.08820569131297,0.502268750340568,4.15754651249364,3.21683793978799e-05,0.0259371054606858,"LINC01134","100133612"
"ENSG00000173262",40.8742774672292,-3.15235260165724,0.758266201725533,-4.15731651296558,3.22007717654994e-05,0.0259371054606858,"SLC2A14","144195"
"ENSG00000211595",237.090390449667,-4.39962891510207,1.05873104925363,-4.15556804365344,3.24480355693606e-05,0.0259371054606858,NA,NA
"ENSG00000211679",751.374916032696,-3.90829444625589,0.950445198130355,-4.11206711754028,3.92132255328844e-05,0.0301645755642283,NA,NA
"ENSG00000244437",358.645072018983,-4.2466745211505,1.03464346896365,-4.1044810589721,4.05223468611715e-05,0.0301645755642283,NA,NA
"ENSG00000169508",336.30356639208,-1.77048305440411,0.431621641964052,-4.10193299471199,4.09712932566278e-05,0.0301645755642283,"GPR183","1880"
"ENSG00000211953",233.094787350474,-4.38393037985175,1.07248485899075,-4.0876384809546,4.35786549194275e-05,0.0305219359353743,NA,NA
"ENSG00000163508",50.1816785085545,-2.12385551459243,0.519620636275502,-4.08731941405493,4.3638611624369e-05,0.0305219359353743,"EOMES","8320"
"ENSG00000109072",64.9505029866067,-0.916964429594612,0.225623482727428,-4.06413560552286,4.82107923717638e-05,0.03205164908045,"VTN","7448"
"ENSG00000229200",3.22852395262293,-4.51943062375933,1.11318988897256,-4.05989190930457,4.90954383960256e-05,0.03205164908045,NA,NA
"ENSG00000111331",1389.29769114339,-1.56939846901014,0.386923288880687,-4.05609720094695,4.98995002022472e-05,0.03205164908045,"OAS3","4940"
"ENSG00000181847",60.1508672695564,-1.98526345434315,0.489737964782524,-4.05372586383974,5.0408283931079e-05,0.03205164908045,"TIGIT","201633"
"ENSG00000133106",432.835924580099,-1.36874454815624,0.338408141444103,-4.04465608396815,5.23999886566957e-05,0.0325184718417725,"EPSTI1","94240"
"ENSG00000211937",92.3975237221399,-4.53151273547027,1.12185584659872,-4.03930036930239,5.36108747708872e-05,0.0325184718417725,NA,NA
"ENSG00000015133",736.090411893967,-0.723659326296803,0.179637481024577,-4.02844285151047,5.61475051538807e-05,0.0325184718417725,"CCDC88C","440193"
"ENSG00000211895",12704.2992810426,-3.91583771846618,0.972759996542497,-4.02549213822971,5.68562801018498e-05,0.0325184718417725,NA,NA
"ENSG00000129757",1003.33529961046,-0.905198734962624,0.224889201016889,-4.02508760255964,5.69541094558692e-05,0.0325184718417725,"CDKN1C","1028"
"ENSG00000211966",208.496734708575,-4.27651059702458,1.06409893564397,-4.01890318068642,5.84696894130745e-05,0.0327161300141917,NA,NA
"ENSG00000183889",216.310942435893,-1.42291944035044,0.354881599177095,-4.00956105825135,6.0831722204703e-05,0.0333703743553133,NA,NA
"ENSG00000141293",94.3118035456995,-1.24327087458858,0.311580726612739,-3.99020468340403,6.60162998898275e-05,0.0355180388849559,"SKAP1","8631"
"ENSG00000211625",32.5485897737841,-4.2415959953678,1.06490927244188,-3.98305856201408,6.80339822671591e-05,0.0359129570167606,NA,NA
"ENSG00000163630",29.279008852889,-3.22461006553506,0.811772272546171,-3.97230870601293,7.11793918207401e-05,0.0367402539481503,"SYNPR","132204"
"ENSG00000137628",1239.93608995688,-0.797690705557631,0.200989099832766,-3.96882570358967,7.22276858543899e-05,0.0367402539481503,"DDX60","55601"
"ENSG00000211900",92.081124733014,-4.0177520727865,1.01730244230485,-3.94941750428091,7.83416044739161e-05,0.0391386262208349,NA,NA
"ENSG00000211950",105.682669338444,-5.07844703270208,1.28949859470459,-3.93831141310045,8.20570515047645e-05,0.0402756163148912,NA,NA
"ENSG00000211598",662.457166328614,-3.97944351236565,1.0147298966903,-3.92167760637113,8.79345967341329e-05,0.0411325172548352,NA,NA
"ENSG00000143297",142.577261840606,-3.3221206582508,0.847368409950617,-3.92051511389764,8.83598938692363e-05,0.0411325172548352,"FCRL5","83416"
"ENSG00000258408",3.45458994148471,3.1725930416736,0.809871040395928,3.91740522061708,8.95072195356977e-05,0.0411325172548352,NA,NA
"ENSG00000128438",18.4781657525536,-3.14565636062297,0.803891238067165,-3.91303725139016,9.11424681446412e-05,0.0411325172548352,NA,NA
"ENSG00000211671",202.818817469327,-4.10794256184705,1.0498174230376,-3.91300665401506,9.11540218679551e-05,0.0411325172548352,NA,NA
"ENSG00000241106",91.5245340418611,-1.60401628193076,0.412183300749502,-3.89151205061937,9.96214402753056e-05,0.0442398259457496,"HLA-DOB","3112"
"ENSG00000178562",68.0785399667982,-1.81320699504621,0.467610802274779,-3.87759860598928,0.000105492576228646,0.0461150907054503,"CD28","940"
"ENSG00000111335",1075.13647160918,-1.2544649122104,0.323996601322451,-3.87184589927818,0.000108014236338339,0.0464909890775033,"OAS2","4939"
"ENSG00000113088",34.0047981689229,-2.34819047026847,0.607790341136316,-3.86348763930393,0.000111779552031847,0.0473826746544696,"GZMK","3003"
"ENSG00000251363",9.05387291127461,-2.96713409745024,0.7698343705708,-3.85424996710686,0.000116084947616006,0.0477994815982486,NA,NA
"ENSG00000102174",333.826803888876,2.04477783229564,0.530553021432544,3.85404992468905,0.00011617988879011,0.0477994815982486,"PHEX","5251"
"ENSG00000240505",11.3159698406976,-3.5356685211357,0.91897248798681,-3.84741498505715,0.0001193706791265,0.0484004853611895,"TNFRSF13B","23495"
"ENSG00000211904",10.5608072881243,-4.09196380434176,1.06507051210164,-3.84196516366538,0.000122053162328387,0.0484074370520655,NA,NA
"ENSG00000211956",119.495005594807,-4.16556348592761,1.08467726465211,-3.84037134517025,0.000122848340804827,0.0484074370520655,NA,NA
"ENSG00000249096",23.3055334501813,-2.06857240221765,0.540064535313123,-3.83023188334023,0.000128022559440405,0.0497456547981139,NA,NA
"ENSG00000230006",128.502514502162,-1.90324629806032,0.497617388317887,-3.82471823280519,0.000130921732338167,0.0501753055565056,"ANKRD36BP2","645784"
"ENSG00000240671",27.0375846460664,-4.48615754536407,1.17569531700105,-3.8157484175469,0.000135770784473421,0.0513305302326069,NA,NA
"ENSG00000211666",604.671978318914,-3.97454844023346,1.04358581283008,-3.80854970561065,0.00013978424973924,0.0521432527327295,NA,NA
"ENSG00000211676",9.91976423789045,-5.78778133744757,1.53139219455156,-3.77942460333776,0.00015719118035442,0.0578099902878034,NA,NA
"ENSG00000089127",551.290902546201,-1.64707688248969,0.43614942202763,-3.77640505593824,0.00015910816928766,0.0578099902878034,"OAS1","4938"
"ENSG00000118785",438.369539413005,-1.76003538431148,0.467685971803647,-3.76328453368794,0.000167696216600533,0.0601491929722195,"SPP1","6696"
"ENSG00000211941",126.366570969138,-4.66064385465077,1.24113106901248,-3.75515847682315,0.000173231831698725,0.0613481893093066,NA,NA
"ENSG00000035720",18.5916108646727,-3.00350157498659,0.80058569964917,-3.75163030803919,0.00017568839897745,0.0614404292274013,"STAP1","26228"
"ENSG00000170419",28.0378153270356,-3.71143085617499,0.991181047767554,-3.74445300839264,0.000180787208138427,0.0624430089146762,"VSTM2A","222008"
"ENSG00000156234",31.3306551365861,-4.26150020462216,1.14398644811297,-3.72513171956852,0.000195213261911652,0.0666034320549059,"CXCL13","10563"
"ENSG00000236682",81.6288582342851,-3.51716680539043,0.945900106505134,-3.71832795154817,0.000200545807970087,0.0675984345732426,"MAP3K2-DT","100506922"
"ENSG00000137965",1989.55333306416,-1.03933407168641,0.280053339373872,-3.71120042349823,0.00020627869364427,0.0687030834772112,"IFI44","10561"
"ENSG00000101197",7.79229171780748,-2.72809257844805,0.738067146250899,-3.6962661084506,0.000218793640066439,0.0720139960957503,"BIRC7","79444"
"ENSG00000134443",54.1522610159012,-6.8677839099062,1.86302683764679,-3.68635801220179,0.000227486269133923,0.0740044575762764,"GRP","2922"
"ENSG00000136147",3272.44603764268,-0.392529469881302,0.106684556677978,-3.67934668432032,0.000233832214346902,0.0751945271354398,"PHF11","51131"
"ENSG00000253516",3.29322407046934,-2.4245558501912,0.659933088652178,-3.67394193726976,0.000238837027694227,0.0759311764068339,NA,NA
"ENSG00000211939",70.5603412212665,-5.05556778478292,1.37805438062468,-3.66862720068507,0.000243856359754216,0.0766558356948732,NA,NA
"ENSG00000163519",22.4131012465297,-2.18276740957468,0.59584993791834,-3.66328377443555,0.00024900241769671,0.0774037848877872,"TRAT1","50852"
"ENSG00000211949",361.410300992244,-3.56901065409695,0.975252541150331,-3.65957585702594,0.000252633051590402,0.0776693943334579,NA,NA
"ENSG00000157601",3308.59565557932,-1.00417127629061,0.275607431884904,-3.64348402879774,0.000268972349358806,0.0810957201406754,"MX1","4599"
"ENSG00000240041",110.523485573027,-3.83195028274231,1.05201920852807,-3.64247178347986,0.000270032585214134,0.0810957201406754,NA,NA
"ENSG00000049247",4.44824140765047,-3.93988148767113,1.08336736193491,-3.6366994484996,0.000276153832465913,0.0810957201406754,"UTS2","10911"
"ENSG00000135925",27.6859433375611,-2.20872199230578,0.607645330927775,-3.6348867997281,0.000278102720485769,0.0810957201406754,"WNT10A","80326"
"ENSG00000118690",332.785883974767,-0.515174999201166,0.141736768938252,-3.6347307975223,0.000278271048843866,0.0810957201406754,"ARMC2","84071"
"ENSG00000239862",4.47758605078521,-5.29499129980052,1.45878237750966,-3.62973352395427,0.000283713958908351,0.0818295404987518,NA,NA
"ENSG00000185745",810.881913687876,-1.59626125358708,0.440380630190015,-3.62473084453856,0.000289262547546786,0.0825785540073106,"IFIT1","3434"
"ENSG00000163993",41.3470424842798,1.74517411267046,0.482478053100089,3.6171056931131,0.000297915675712191,0.0841897662565653,"S100P","6286"
"ENSG00000137265",129.572573378678,-1.71265663528342,0.474403721382081,-3.61012479053481,0.000306049726655865,0.0856235320265113,"IRF4","3662"
